=== GLYPH COMPARISON: en_US vs pt_BR ===
item.dorios:berserk_ring | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:cross_necklace | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:crystal_heart | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:earthshaker_ring | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:ender_ring | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:eternal_steak | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:everlasting_beef | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:feral_claws | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:frost_ring | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:gale_ring | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:gravity_ring | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:heart_from_the_fourth_dimension | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:holy_dagger | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:holy_necklace | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:lucky_scarf | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:mirror | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:monocle | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:night_vision_goggles | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:novelty_drinking_hat | EN:0(NONE) | BR:3(U+E118,U+E110,U+E12B)
item.dorios:pirate_hat | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:plastic_drinking_hat | EN:0(NONE) | BR:3(U+E116,U+E110,U+E12B)
item.dorios:shepherds_ring | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:silk_glove | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:snorkel | EN:0(NONE) | BR:2(U+E119,U+E14A)
item.dorios:sprint_ring | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:steadfast_spikes | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:superstitious_hat | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:tidal_ring | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:umbrella | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:universal_attractor | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:vampire_ring | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:villager_hat | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:voodoo | EN:0(NONE) | BR:-1(MISSING_KEY)
item.dorios:whoopee_cushion | EN:0(NONE) | BR:-1(MISSING_KEY)
